Unnamed: 0,微博用户名,发布时间,微博链接,微博内容,转发数,评论数,点赞数,Unnamed: 9,Unnamed: 10
2891.0,中国新闻网,08月23日 17:00,//weibo.com/1784473157/M2nAgkYF1?refer_flag=1001030103_,【#重庆奉节山火已扑灭#】#重庆奉节山火无人员伤亡# 据重庆奉节县委宣传部消息，8月23日3时30分，奉节县安坪镇新铺村山林火情明火已经全部扑灭，无人员伤亡。目前，现场共落实200余名人员分片值守盯防，强化巡逻巡查，全力做好现场清理看守，杜绝死灰复燃，确保群众生命财产安全。起火原因正在调查之中。#重庆山火#（央视新闻客户端） 收起d,29.0,43.0,396.0,167,
2981.0,参考消息,08月23日 18:45,//weibo.com/2375086267/M2ogGdMrr?refer_flag=1001030103_,#重庆山火#【#他们是离山火最近的人#】近日，由于持续高温干旱，重庆多地先后突发山林火灾。武警官兵立即奔赴现场救火，他们在滚滚热浪中坚守，保卫山林和百姓的安全。戳图↓致敬每一位逆火而行者！（人民日报） ?,46.0,28.0,183.0,102,
3009.0,农民日报,08月23日 18:39,//weibo.com/2821669511/M2oewAyDd?refer_flag=1001030103_,【#重庆娃儿骑摩托车硬核运送救火物资#】8月22日，重庆因高温发生山火。由于当地地势陡峭，依靠人力很难将救援物资运上山，多名小伙骑摩托车赶来帮忙。参与物资运送的小伙子中，有不少是周边群众，也有专程赶来的专业车手。#救火物资难上山重庆娃儿骑着摩托来了#（新华每日电讯）  L新华社的微博视频 收起d,2.0,2.0,28.0,148,
3078.0,新华社,08月23日 18:23,//weibo.com/1699432410/M2o7TC6jD?refer_flag=1001030103_,【#重庆娃儿骑摩托车硬核运送救火物资#】8月22日，重庆因高温发生山火。由于当地地势陡峭，依靠人力很难将救援物资运上山，多名小伙骑摩托车赶来帮忙。参与物资运送的小伙子中，有不少是周边群众，也有专程赶来的专业车手。#救火物资难上山重庆娃儿骑着摩托来了#（新华每日电讯）  L新华社的微博视频 收起d,831.0,727.0,22387.0,148,
3113.0,中国新闻周刊,08月23日 18:16,//weibo.com/1642512402/M2o4UmTW5?refer_flag=1001030103_,【#重庆山火不建议群众自发灭火#】#重庆山火仍有明火未扑灭# 近日，由于持续高温干旱，重庆多地先后突发山林火灾。据了解，今年是重庆1961年来最严重极端连晴高温天气。8月23日下午，重庆市林业局宣传处工作人员告诉@中国新闻周刊，山火系极端高温天气引起森林自燃，也不排除有人为因素，相比往年，重庆今年山火次数较多，规模较大。目前，重庆所有区县均已发布森林防火封山令，并组织地方工作人员持续上山巡查，强化隐患排查。#重庆山火#重庆市应急管理局新闻宣传处工作人员告诉@中国新闻周刊，目前仍有明火未被扑灭，但大部分山火被有力压制。由于火势持续时间长，救援队员已较为疲惫，现已出动救援直升机参与灭火，开辟防火隔离带，在救援工作的同时保证救援人员安全。其强调，不主张群众、志愿者自发前往森林火灾区参与救援，“灭火大家可能觉得很简单，但其实是很专业的事。”  L中国新闻周刊的微博视频 收起d,42.0,57.0,299.0,389,
3134.0,中国基建报,08月23日 18:12,//weibo.com/2818784432/M2o3rhOFC?refer_flag=1001030103_,【 “一口气吹灭巴南山火”！#队员用馒头为山火救援队长庆生#】8月22日，重庆市，救援队刚结束巴南山火扑救任务，173名队员用红糖馒头为队长庆生。视频中，队员们用打火机代替蜡烛，齐唱生日歌。据队员介绍，当队长许愿时，还开玩笑说他是一口气吹灭了巴南山火。@点时新闻 L点时新闻的微博视频 ???,1.0,0.0,1.0,146,
3301.0,半月谈,08月23日 19:40,//weibo.com/2318265821/M2oDiBVAy?refer_flag=1001030103_,【#重庆娃儿骑摩托车硬核运送救火物资#】8月22日，重庆因高温发生山火。由于当地地势陡峭，依靠人力很难将救援物资运上山，多名小伙骑摩托车赶来帮忙。参与物资运送的小伙子中，有不少是周边群众，也有专程赶来的专业车手。#救火物资难上山重庆娃儿骑着摩托来了#（新华每日电讯）  L新华社的微博视频 收起d,14.0,28.0,269.0,148,
3339.0,中青报-温暖的BaoBao,08月23日 19:33,//weibo.com/2056394313/M2oAjzWJm?refer_flag=1001030103_,【正能量！#重庆北碚山火小伙自发骑摩托支援#】8月23日，在重庆北碚缙云山山火扑救现场，几名20多岁小伙自发骑摩托车协助灭火救援工作。其中一名#小伙回应和同伴骑摩托协助灭火#称，听说灭火工作需要帮助就约好一起来帮忙，因为山里挖了防火隔离带，一般车辆通行不便，只能骑摩托车运送消防员、锯子、水袋上山。他还称，有不少摩友得知后，也陆续赶来加入。#中国人的故事# （直播南京） L中青报-温暖的BaoBao的微博视频 收起d,27.0,35.0,845.0,209,
3404.0,参考消息,08月23日 19:22,//weibo.com/2375086267/M2ow1nWTK?refer_flag=1001030103_,【#重庆娃儿骑摩托车硬核运送救火物资#】8月22日，重庆因高温发生山火。由于当地地势陡峭，依靠人力很难将救援物资运上山，多名小伙骑摩托车赶来帮忙。参与物资运送的小伙子中，有不少是周边群众，也有专程赶来的专业车手。#救火物资难上山重庆娃儿骑着摩托来了#（新华社）#救援山火的重庆娃儿有多飒# L新华社的微博视频 收起d,45.0,47.0,611.0,158,
3509.0,新华日报,08月23日 19:00,//weibo.com/3881380517/M2omW8g7f?refer_flag=1001030103_,【#重庆娃儿骑摩托车硬核运送救火物资#】8月22日，重庆因高温发生山火。由于当地地势陡峭，依靠人力很难将救援物资运上山，多名小伙骑摩托车赶来帮忙。参与物资运送的小伙子中，有不少是周边群众，也有专程赶来的专业车手。#救火物资难上山重庆娃儿骑着摩托来了#L新华社的微博视频 ?,5.0,6.0,37.0,136,
